iter	AUC	Logloss
122	0.7896729708	0.4134201122
123	0.7896779776	0.413032906
124	0.789680779	0.412670406
125	0.7896810472	0.4123143697
126	0.789683938	0.4119509615
127	0.7896869779	0.4116409455
128	0.7896859944	0.4112979434
129	0.789688915	0.4109504006
130	0.7896882892	0.4106152244
131	0.7896895111	0.4102852564
132	0.7896905541	0.4099652244
133	0.7896934152	0.4096722489
134	0.7896929383	0.4094158654
135	0.7896942198	0.409132078
136	0.7896936238	0.4088392628
137	0.7896925807	0.4085934028
138	0.7896918058	0.4083221421
139	0.7896926403	0.4080657318
140	0.7896921635	0.407826656
141	0.7896950543	0.4075630342
142	0.7896956503	0.4073527511
143	0.7896959186	0.4071709402
144	0.7896962464	0.4069084135
145	0.7896970212	0.4066638622
146	0.7896952629	0.4064434829
147	0.7896950841	0.4062514156
148	0.7896942496	0.4060542735
149	0.7896939516	0.4058038729
150	0.7896933258	0.4056161325
151	0.7896955907	0.4054111645
152	0.7896962166	0.4052092147
153	0.7896950841	0.4050125267
154	0.7896962464	0.4047984776
155	0.7896981239	0.4045948718
156	0.789699018	0.4043976496
157	0.7897012234	0.4042280182
158	0.7896992564	0.4040462607
159	0.7897002399	0.4038888088
160	0.7896995544	0.4037397703
161	0.7897011042	0.4035570246
162	0.7897008657	0.4034183226
163	0.7897025645	0.4032479968
164	0.7897015214	0.4031325588
165	0.7897006571	0.402992281
166	0.7897007167	0.4028438034
167	0.7896983325	0.4026918803
168	0.7896975279	0.4025293536
169	0.7896973789	0.4023726229
170	0.7896961868	0.4022465011
171	0.7896978855	0.4021192842
172	0.7896982133	0.402009375
173	0.7896974385	0.4018663996
174	0.7896976769	0.4017692575
175	0.7897001803	0.4016387286
176	0.7896991372	0.4015142361
177	0.7897005677	0.4014004541
178	0.78970173	0.4012878205
179	0.7897023559	0.4011568376
180	0.7897027135	0.4010300748
181	0.7897004783	0.4009138889
182	0.789701283	0.4007901709
183	0.7897009552	0.4006764423
184	0.7897024453	0.4005627938
185	0.7897040546	0.4004760951
186	0.7897037566	0.4003902244
187	0.7897052169	0.4002900641
188	0.7897054255	0.4001783921
189	0.7897066176	0.4001035791
190	0.7897079587	0.4000149573
191	0.7897086143	0.3999293269
192	0.7897083461	0.3998278846
193	0.7897096574	0.3997449786
194	0.789709717	0.3996479167
195	0.7897096276	0.3995548344
196	0.7897115052	0.3994687233
197	0.789711982	0.3993854701
198	0.7897138894	0.3993088408
199	0.7897146046	0.399246875
200	0.7897144854	0.3991594284
201	0.789716363	0.3990771635
202	0.7897179425	0.3990138355
203	0.7897172272	0.3989412927
204	0.7897196412	0.3988703259
205	0.7897189558	0.3988017895
206	0.7897197902	0.3987407051
207	0.7897202373	0.3986894231
208	0.7897209525	0.398638969
209	0.789722383	0.3985710203
210	0.7897229493	0.3984996261
211	0.7897244394	0.3984340278
212	0.7897246182	0.3983682425
213	0.7897241414	0.3982988248
214	0.789724201	0.3982321314
215	0.7897258401	0.3981748932
216	0.7897259593	0.3981149306
217	0.7897264361	0.3980791132
218	0.7897268236	0.3980182158
219	0.7897271812	0.3979597489
220	0.7897283733	0.3979108173
221	0.7897275686	0.3978565972
222	0.789727211	0.3978136752
223	0.7897267342	0.397765625
224	0.7897267044	0.3977166934
225	0.7897282839	0.3976745192
226	0.7897281051	0.3976207799
227	0.7897287607	0.3975915064
228	0.7897293568	0.3975605769
229	0.7897301614	0.3975211271
230	0.7897312641	0.3974805021
231	0.7897306979	0.3974387019
232	0.7897315025	0.3973871261
233	0.7897322774	0.3973380609
234	0.7897332907	0.39729586
235	0.7897340655	0.3972723024
236	0.7897345424	0.3972396368
237	0.7897364199	0.3972034455
238	0.7897389531	0.3971544872
239	0.7897394598	0.3971241186
240	0.7897391915	0.3970861645
241	0.789739579	0.397047062
242	0.789739877	0.397010016
243	0.7897402942	0.3969909455
244	0.7897415459	0.3969689904
245	0.789743185	0.3969299145
246	0.7897434235	0.3968971688
247	0.7897450924	0.3968663462
248	0.7897456884	0.3968459936
249	0.7897461355	0.3968098024
250	0.7897483408	0.3967676549
251	0.7897492349	0.3967376068
252	0.7897503674	0.3966990652
253	0.7897505164	0.3966630075
254	0.7897503674	0.3966316506
255	0.7897509933	0.396598531
256	0.7897522449	0.3965787393
257	0.789753139	0.3965586538
258	0.7897536457	0.3965298878
259	0.7897541225	0.3965052618
260	0.7897552252	0.3964743056
261	0.7897567749	0.3964426549
262	0.7897564471	0.3964168536
263	0.7897568047	0.3963932959
264	0.789757818	0.396365438
265	0.7897587419	0.3963491186
266	0.7897592783	0.3963284722
267	0.7897607386	0.3963053686
268	0.7897608876	0.3962799947
269	0.7897612154	0.3962555021
270	0.7897613943	0.3962362981
271	0.7897617519	0.3962107105
272	0.789763391	0.3961862714
273	0.7897641063	0.3961617521
274	0.7897647917	0.3961386752
275	0.7897654176	0.3961174412
276	0.7897654474	0.3961020833
277	0.7897661924	0.3960789263
278	0.7897675633	0.3960573718
279	0.7897674143	0.3960446314
280	0.789768666	0.3960329594
281	0.7897695303	0.3960090812
282	0.7897705138	0.395992281
283	0.7897708416	0.395976469
284	0.7897713482	0.3959566239
285	0.7897722721	0.3959350962
286	0.7897731364	0.3959154915
287	0.7897737324	0.3958973024
288	0.7897755206	0.3958869658
289	0.7897768617	0.3958737714
290	0.7897776067	0.3958619925
291	0.7897800803	0.395851656
292	0.789781481	0.3958410791
293	0.7897827625	0.3958274306
294	0.7897836864	0.3958118056
295	0.7897842526	0.3957958066
296	0.7897862196	0.3957857639
297	0.7897874415	0.3957663729
298	0.7897874415	0.3957485844
299	0.7897871137	0.3957327724
300	0.7897866368	0.3957184295
301	0.7897870839	0.3957002137
302	0.7897880077	0.395685203
303	0.7897885442	0.3956721955
304	0.789788723	0.3956563835
305	0.7897892296	0.3956476763
306	0.7897899151	0.3956368323
307	0.7897908688	0.3956300481
308	0.7897911668	0.3956236111
309	0.7897909284	0.3956104434
310	0.7897913754	0.3956005876
311	0.7897929549	0.3955930021
312	0.7897945046	0.395583547
313	0.7897959352	0.3955761485
314	0.7897969782	0.3955627137
315	0.7897977829	0.3955525641
316	0.7897990942	0.3955390759
317	0.7898001373	0.3955243857
318	0.7898011506	0.3955097489
319	0.7898029983	0.3955006143
320	0.7898046076	0.3954917735
321	0.7898058593	0.3954851496
322	0.7898063362	0.3954715545
323	0.7898069024	0.3954627671
324	0.78980878	0.3954565438
325	0.789809674	0.3954518964
326	0.7898106873	0.3954432425
327	0.7898120582	0.3954361912
328	0.7898125947	0.3954250267
329	0.7898137271	0.3954152778
330	0.7898142338	0.3954080395
331	0.789817512	0.395401015
332	0.7898184657	0.3953901709
333	0.7898186743	0.3953762286
334	0.7898193896	0.3953691239
335	0.7898198366	0.3953594551
336	0.7898212075	0.3953474626
337	0.78982234	0.3953338675
338	0.7898240089	0.3953262019
339	0.7898246646	0.3953222756
340	0.789824605	0.3953103098
341	0.7898251414	0.3953012019
342	0.7898256481	0.3952930823
343	0.7898263037	0.3952901442
344	0.7898272872	0.3952798077
345	0.7898281217	0.3952762821
346	0.7898282707	0.3952689103
347	0.7898289561	0.39526039
348	0.7898312807	0.3952556891
349	0.7898341417	0.3952509882
350	0.7898354232	0.3952479167
351	0.7898363471	0.3952448451
352	0.7898368537	0.3952423077
353	0.7898371518	0.3952376068
354	0.7898381054	0.3952298077
355	0.7898416221	0.3952247062
356	0.789842397	0.3952176015
357	0.7898435295	0.3952127671
358	0.7898456454	0.3952091613
359	0.789845854	0.3952034989
360	0.789847374	0.3951965011
361	0.789848268	0.3951864583
362	0.7898496091	0.3951815972
363	0.7898501754	0.3951737714
364	0.7898509502	0.395167922
365	0.7898528874	0.3951588942
366	0.7898541391	0.3951532318
367	0.7898555398	0.3951494925
368	0.7898559868	0.3951458333
369	0.7898569405	0.3951432425
370	0.7898590863	0.3951405449
371	0.7898625731	0.3951315972
372	0.7898643017	0.3951276442
373	0.7898666859	0.3951185096
374	0.7898682356	0.3951139957
375	0.7898696363	0.3951113782
376	0.7898700833	0.3951030449
377	0.7898710072	0.3950978098
378	0.7898728251	0.3950946047
379	0.7898744345	0.3950922543
380	0.7898752391	0.395082265
381	0.7898760736	0.3950778846
382	0.7898761928	0.3950712607
383	0.7898776233	0.3950665598
384	0.7898803651	0.3950639156
385	0.7898817956	0.3950602831
386	0.7898828685	0.3950581998
387	0.7898834348	0.3950514423
388	0.7898831666	0.3950453526
389	0.7898856401	0.3950429487
390	0.7898866534	0.3950336538
391	0.7898869216	0.3950263088
392	0.7898883522	0.3950230502
393	0.7898907661	0.3950149573
394	0.7898909152	0.3950076923
395	0.7898915112	0.3950043269
396	0.7898928523	0.3950022703
397	0.789893508	0.3949969284
398	0.7898943126	0.394992094
399	0.7898946404	0.3949882479
400	0.7898961306	0.394984562
401	0.7898967266	0.3949827457
402	0.7898981571	0.3949807959
403	0.7898982763	0.3949751335
404	0.7898994982	0.3949689103
405	0.7899011374	0.3949669338
406	0.7899016738	0.3949658654
407	0.7899027169	0.3949632212
408	0.7899034023	0.3949596421
409	0.7899037302	0.3949555556
410	0.7899038196	0.3949540331
411	0.7899052203	0.3949522703
412	0.7899055481	0.3949492521
413	0.7899077535	0.3949427083
414	0.7899097204	0.3949384615
415	0.7899106741	0.3949341613
416	0.7899119258	0.3949325588
417	0.7899127007	0.3949299947
418	0.7899141312	0.3949279113
419	0.7899141312	0.3949222222
420	0.7899153531	0.3949205929
421	0.7899174094	0.3949188301
422	0.7899196148	0.3949161859
423	0.7899200618	0.3949145299
424	0.7899220884	0.3949117521
425	0.7899239361	0.3949098024
426	0.7899241447	0.3949055556
427	0.7899274826	0.3949032318
428	0.7899280488	0.394898985
429	0.7899281979	0.3948930556
430	0.7899309397	0.3948908654
431	0.7899314165	0.3948873932
432	0.7899339497	0.3948839744
433	0.7899341583	0.3948781784
434	0.789935261	0.3948763088
435	0.7899370193	0.3948750534
436	0.7899385691	0.394873344
437	0.789939642	0.3948723024
438	0.7899397016	0.3948692575
439	0.7899402678	0.3948682158
440	0.7899417281	0.3948649306
441	0.7899434865	0.3948634615
442	0.7899450064	0.3948608173
443	0.7899450064	0.3948560363
444	0.7899461687	0.3948548344
445	0.7899483144	0.3948518429
446	0.7899486423	0.3948469017
447	0.7899496257	0.3948430556
448	0.7899495959	0.3948386218
449	0.7899507284	0.3948361378
450	0.7899512947	0.3948350427
451	0.7899514735	0.394833734
452	0.7899539471	0.3948313835
453	0.7899553776	0.3948259882
454	0.7899557352	0.3948213942
455	0.7899558544	0.3948193643
456	0.7899577022	0.3948169338
457	0.7899597287	0.39481461
458	0.7899616957	0.3948125
459	0.7899625897	0.3948111645
460	0.7899638712	0.3948098558
461	0.7899644375	0.3948077991
462	0.7899643481	0.3948044605
463	0.7899643183	0.3948002938
464	0.7899644673	0.3947987981
465	0.7899670005	0.394796875
466	0.7899680734	0.3947955128
467	0.7899685502	0.3947927618
468	0.7899699211	0.3947902244
469	0.7899715304	0.3947878739
470	0.7899718583	0.3947838141
471	0.789973706	0.3947820246
472	0.7899751663	0.3947805823
473	0.7899757922	0.3947799679
474	0.7899768949	0.3947788729
475	0.7899783552	0.3947768162
476	0.7899789214	0.3947715278
477	0.7899806499	0.3947691774
478	0.7899830639	0.3947673344
479	0.7899850905	0.3947650107
480	0.7899866402	0.3947628472
481	0.7899888456	0.3947613515
482	0.7899905741	0.3947580395
483	0.789991647	0.394756891
484	0.7899926901	0.3947532853
485	0.7899939716	0.3947521368
486	0.7899942696	0.3947478098
487	0.7899961472	0.394746875
488	0.7899971008	0.3947439904
489	0.7899989188	0.3947426816
490	0.7899990082	0.3947413996
491	0.7900002599	0.3947401709
492	0.7900010347	0.3947389957
493	0.7900013626	0.3947382746
494	0.7900032401	0.3947351763
495	0.7900053263	0.3947338675
496	0.7900068164	0.3947323718
497	0.790006876	0.3947313034
498	0.7900075018	0.3947286859
499	0.7900079489	0.3947240385
500	0.7900079489	0.3947210203
501	0.7900081277	0.3947204861
502	0.7900096774	0.3947167468
503	0.7900098562	0.3947125534
504	0.7900099754	0.3947097222
505	0.7900112271	0.3947088942
506	0.7900133431	0.3947066239
507	0.7900141478	0.3947047543
508	0.7900156081	0.3947034455
509	0.79001683	0.394702484
510	0.7900179923	0.394699172
511	0.7900190651	0.3946962607
512	0.7900196612	0.3946933494
513	0.7900217474	0.3946916667
514	0.7900233269	0.3946891827
515	0.7900249064	0.3946882746
516	0.7900260091	0.3946865385
517	0.7900271416	0.3946852831
518	0.7900274396	0.3946824786
519	0.790027678	0.3946809295
520	0.790029645	0.3946799412
521	0.7900299132	0.3946779915
522	0.7900305986	0.3946747596
523	0.790032357	0.3946737447
524	0.7900334299	0.3946725962
525	0.7900343835	0.3946698184
526	0.7900345325	0.3946688301
527	0.7900347114	0.3946673344
528	0.7900351584	0.3946662927
529	0.7900365889	0.3946643162
530	0.7900382578	0.3946631143
531	0.7900389433	0.3946606838
532	0.7900396585	0.3946592949
533	0.790039748	0.3946563568
534	0.7900421917	0.3946546474
535	0.790043205	0.3946536325
536	0.7900433838	0.3946527511
537	0.7900440991	0.3946514423
538	0.7900445163	0.3946492788
539	0.7900449932	0.3946483974
540	0.7900460064	0.3946476496
541	0.7900464237	0.3946465011
542	0.790048033	0.3946435897
543	0.7900494337	0.3946426816
544	0.7900507152	0.3946413194
545	0.7900511622	0.3946401709
546	0.7900525033	0.3946382212
547	0.7900529504	0.3946363515
548	0.7900533676	0.3946352831
549	0.7900546193	0.3946343483
550	0.7900546789	0.3946337073
551	0.7900550067	0.3946328526
552	0.7900571823	0.3946318109
553	0.7900591791	0.3946304487
554	0.7900617421	0.3946289263
555	0.7900630832	0.3946276976
556	0.7900646627	0.3946252938
557	0.7900645137	0.3946230235
558	0.7900646627	0.3946205128
559	0.7900675833	0.3946189637
560	0.7900688946	0.3946159722
561	0.7900691032	0.3946154915
562	0.7900703847	0.3946145032
563	0.7900715172	0.394613515
564	0.7900722027	0.3946119925
565	0.7900737226	0.3946106838
566	0.7900736332	0.3946089476
567	0.7900743186	0.3946060096
568	0.7900744081	0.3946053953
